code,name,description,cost_price
1200 panasonic food factory,1200 Panasonic Food Factory,,8300
306 nd national iron,306 ND National Iron,,2436
1002 panasonic food factory,1002 Panasonic Food Factory,,13350
925 mo microwave oven,925 MO Microwave Oven,,20000
fx 800 food processor black and decker,FX 800 FOOD PROCESSOR BLACK AND DECKER,,7900
217 nd national kettle 1.7 l,217 ND National kettle 1.7 L,,3088.5
786 indus blender,786 Indus Blender,,1040
707 oxford blender,707 Oxford Blender,,1255.6
1215 moulinex blender,1215 MOULINEX BLENDER,,1400
3049 anex chopper,3049 Anex Chopper,,14521.78
atashi kneading machine,Atashi Kneading Machine,,5000
7000 nd national electric oven,7000 ND National Electric Oven,,26100
001 zhenmi china chopper,001 Zhenmi China Chopper,,7000
900 y silver crest hot plate,900 Y Silver Crest Hot Plate,,5250
314 kenwood blender dd,314 Kenwood Blender DD,,2210
coli blender wp,Coli Blender WP,,36
5776 kenwood air fryer 10 ltr,5776 Kenwood Air Fryer 10 Ltr,,12550
27 mo microwave oven touch with grill,27 MO Microwave Oven Touch With Grill,,19000
9993 st 7020 cc pp,9993 ST 7020 CC PP,,2100
400 kenwood 3in1 juicer,400 Kenwood 3in1 Juicer,,4005
333 angeleno 3in1 juicer,333 Angeleno 3in1 Juicer,,18666.67
555 st master cartton,555 ST MASTER CARTTON,,125
box malaysia 176 3in1,Box Malaysia 176 3IN1,,1
782 cambridge steam iron,782 Cambridge Steam Iron,,3018
130 sogo insect kill 30w,130 Sogo Insect Kill 30W,,8300
128 anex hand blender,128 Anex Hand Blender,,7170.8
123 oreena box heater,123 Oreena Box Heater,,1050
122 sogo dish heater,122 Sogo Dish Heater,,7583.33
128 dawlance microwave oven,128 Dawlance Microwave Oven,,28376
gene china 176,Gene China 176,,15.67
131 hp dawlance microwave oven,131 HP Dawlance Microwave Oven,,31348.82
0846 life relaxe fan heater,0846 Life Relaxe Fan Heater,,2000
5 qh novl fish heater,5 QH Novl Fish Heater,,633
1076 anex iron,1076 Anex Iron,,6306.3
box st 543,box st 543,,63
1003 panasonic food factory,1003 Panasonic Food Factory,,12354
132 dawlance microwave oven,132 Dawlance Microwave Oven,,18099
203 haeger sandwich maker,203 Haeger Sandwich Maker,,6500
lotus hot pot,Lotus Hot Pot,,1800
211 philips kettle,211 Philips Kettle,,1475
1065 panasonic electric oven,1065 Panasonic Electric Oven,,19300
box 600 st blender,Box 600 St Blender,,75
1320 multy net 3in1 juicer,1320 Multy Net 3in1 Juicer,,2448
4100 philips chopper,4100 PHILIPS CHOPPER,,2950
1420 multy net 3in1 juicer,1420 Multy Net 3in1 Juicer,,3015
270 seco kettle,270 Seco Kettle,,1800
137 anex hand blender with jug,137 Anex Hand Blender With JUG,,5141.5
8085 kenwood food factory,8085 Kenwood Food Factory,,8000
3017 seco stand mixer,3017 Seco Stand Mixer,,17800
900 silver crest toaster digital,900 Silver Crest Toaster Digital,,3850
15 md dawlance microwave oven,15 MD Dawlance Microwave Oven,,12282.29
133 dawlance microwave oven,133 Dawlance Microwave Oven,,32003.31
29 ltr vacuum clear,29 Ltr Vacuum Clear,,9500
1003 arshia hot plate,1003 Arshia Hot Plate,,3800
150 spell sandwich maker,150 Spell Sandwich Maker,,1246
15 g power stand mixer,15 G Power Stand Mixer,,15000
1520 boxiya kettle,1520 Boxiya Kettle,,750
188 anex juicer 4in1,188 Anex Juicer 4in1,,17138.33
666 panasonic chopper,666 Panasonic Chopper,,5000
158 spell sandwich maker,158 Spell Sandwich Maker,,1579
1550 panasonic blender,1550 Panasonic Blender,,1040
154 spell sandwich maker,154 Spell Sandwich Maker,,1246
140 nd national 3in1 juicer,140 ND National 3in1 Juicer,,7308
514 indus iron,514 Indus Iron,,654
1076 deluxe philips 4in1 juicer,1076 Deluxe Philips 4in1 Juicer,,3250
135 sogo insect kill 40w,135 Sogo Insect Kill 40W,,9200
lido 381,Lido 381,,0
box st 9993 blender dd,Box ST 9993 Blender DD,,73
176 8820 white body panasonic juicer 3in1 gb,176 8820 white body Panasonic Juicer 3in1 gb,,700
630 philips chopper,630 Philips Chopper,,5330
2516 kenwood air fryer 16 ltr,2516 Kenwood Air Fryer 16 Ltr,,18000
124 kettle 2.0 l,124 Kettle 2.0 l,,1550
220 nd national kettle 1.7 ltr,220 ND National Kettle 1.7 Ltr,,3132
1760 panasonic juicer 4in1,1760 Panasonic Juicer 4in1,,3500
10 md dawlance microwave oven,10 MD Dawlance Microwave Oven,,13892.86
213 nd kettle,213 Nd Kettle,,3132
592 panasonic blender glass jug,592 Panasonic Blender Glass Jug,,2250
4800 touch microwave oven,4800 Touch Microwave Oven,,13500
ref 9160lf chrome hairline black fridge,REF 9160LF Chrome Hairline Black Fridge,,64312.59
176 ht national gray iron,176 HT National Gray Iron,,1610
901 haa air fryer digital double bucket,901 HAA Air Fryer Digital Double Bucket,,12833.33
176 malaysia panasonic juicer 3in1,176 Malaysia Panasonic Juicer 3in1,,39800
2168 anex hot plate infrared,2168 Anex Hot Plate Infrared,,11648
25 l national microwave oven,25 L National Microwave Oven,,25000
178 panasonic chopper,178 Panasonic Chopper,,3800
180 black dacker blender,180 Black Dacker Blender,,2520
117 oxford steam iron,117 Oxford Steam Iron,,1909.2
16dd canon geyser,16DD Canon Geyser,,9700
176 7030 cooper panasonic juicer 3in1,176 7030 cooper Panasonic Juicer 3in1,,408.33
176 juicy indus 3in1 juicer,176 Juicy Indus 3in1 Juicer,,2400
tokyo kettle,Tokyo Kettle,,0
2608 sunca fan,2608 Sunca Fan,,3000
2020 anex plus microwave oven,2020 Anex Plus Microwave Oven,,6900
920 oxford mircowave oven,920 Oxford Mircowave Oven,,11350
54 philips blender,54 Philips Blender,,2000
9725 philips air fryer,9725 Philips Air Fryer,,12500
8710 multy net food factory,8710 Multy Net Food Factory,,7470
100 gb stick blender,100 GB Stick Blender,,2025
808 hj ceremics heater,808 HJ Ceremics Heater,,8500
20l classic pel black microwave oven,20L Classic PEL Black Microwave Oven,,13000
1103 np national food processor,1103 NP National Food Processor,,6000
882 kenwood blender,882 Kenwood Blender,,2675
413 panasonic sandwich maker,413 Panasonic Sandwich Maker,,1835.56
2035 national gray iron,2035 National Gray Iron,,615
20 d orient kabab micro oven,20 D Orient Kabab Micro Oven,,13500
182 panasonic blende,182 Panasonic Blende,,860
398 sonka fan,398 Sonka Fan,,0
200 gb stick blender,200 GB Stick Blender,,2125
645 anex masala grinder,645 Anex Masala Grinder,,6643
288 geepas coffee grinder,288 Geepas Coffee Grinder,,3400
1212 silver crest hot plate,1212 Silver Crest Hot Plate,,5500
2000a renova split heater,2000A Renova Split Heater,,4500
345 kenwood 3in1 juicer,345 Kenwood 3in1 Juicer,,3100
2000 panasonic chopper,2000 Panasonic Chopper,,7000
181 maverick sandwich maker,181 Maverick Sandwich Maker,,1140
18bh berghoffer kettle,18BH Berghoffer Kettle,,750
350 nd national vacuum cleaner,350 ND National Vacuum Cleaner,,7000
6125 geepas roti maker,6125 Geepas Roti Maker,,10000
407 national sandwich maker,407 National Sandwich Maker,,2000
2012 anex deep fryer,2012 Anex Deep Fryer,,15015
2025 panasonic chopper,2025 Panasonic Chopper,,4300
box 999 st national blender,Box 999 ST National Blender,,35
2014 anex deep fryer with timer,2014 Anex Deep Fryer With Timer,,15697.5
631 panasonic vacuum cleaner china,631 Panasonic Vacuum Cleaner China,,9012.5
1670 geepas toaster,1670 GEEPAS TOASTER,,1450
2020 st national juicer,2020 ST National Juicer,,880.68
221 ns national kettle,221 NS National Kettle,,1563.11
2023 w eco star white microwave oven,2023 W Eco Star White Microwave Oven,,7775
ref 9122 fp opal green fridge,REF 9122 FP Opal Green Fridge,,49383.4
desi commercial blender,Desi Commercial Blender,,0
202 black & dacker toaster,202 Black & Dacker Toaster,,4000
810 ds air fryer,810 DS Air Fryer,,12500
2037 anex sandwich maker,2037 Anex Sandwich Maker,,4986.8
4800 nd national electric oven,4800 ND National Electric Oven,,17835
flame jf 60 ceramic,flame jf 60 ceramic,,2600
176 wahab panasonic china 3in1 juicer,176 Wahab Panasonic China 3in1 Juicer,,2175
201 panasonic blender,201 Panasonic Blender,,1000
174 moulinex 3in1 juicer,174 Moulinex 3in1 Juicer,,4300
2035 geepas pizza maker,2035 Geepas Pizza Maker,,11000
100 nd national sandwich maker steel,100 ND National Sandwich Maker Steel,,4350
2040 n golden national iron,2040 N Golden National Iron,,1190
203 seco hand blender,203 Seco Hand Blender,,2225
2040 p golden panasonic iron,2040 P Golden Panasonic Iron,,1190
125 st national sandwich maker,125 St National Sandwich Maker,,2100
222 hkt fan,222 hkt fan,,8500
205 panasonic blender,205 Panasonic Blender,,1305
2055 anex citrus press,2055 Anex Citrus Press,,4823
20 macaroni black orient microwave oven,20 Macaroni Black Orient Microwave Oven,,12200
2055 national iron n golden,2055 National Iron N Golden,,1190
404 g power hot plate,404 G Power Hot plate,,5400
2040 n gray national iron from haider,2040 N Gray National Iron  FROM HAIDER,,1148.08
1136 kw 3in1 juicer white body 7025cc,1136 KW 3in1 Juicer White Body 7025CC,,0
2055 national iron n gray,2055 National Iron N Gray,,1117
8 ltr indus geyser lpg,8 Ltr Indus Geyser LPG,,22800
2048 anex meat mincer,2048 Anex Meat Mincer,,18473
7262 philips air fryer,7262 Philips air fryer,,10100
box 594 panasonic blender,Box 594 Panasonic Blender,,42
2055 panasonic iron p golden,2055 Panasonic Iron P Golden,,1196.67
2055 panasonic iron p gray,2055 Panasonic Iron P Gray,,1250
120 st national iron,120 St National Iron,,816
6050 philips hot plate,6050 Philips Hot Plate,,5600
9097 nd national blender glass,9097 ND National Blender Glass,,3009.32
8819 west point food factory,8819 West Point Food Factory,,14419
2040 p gray panasonic iron,2040 P Gray Panasonic Iron,,1227.5
2054 anex citrus press,2054 Anex Citrus Press,,5005
2045 anex sandwich maker,2045 Anex Sandwich Maker,,5960.5
808 philips air fryer,808 Philips Air Fryer,,14000
206 geepas coffee grinder,206 Geepas Coffee Grinder,,3500
2061 anex hot plater,2061 Anex Hot Plater,,8132.37
2062 anex hot plate,2062 Anex Hot Plate,,10776
8082 nd national blender,8082 ND National Blender,,2653.84
211 nd national sandwich maker,211 ND National Sandwich Maker,,5307
2060 np golden iron,2060 NP Golden Iron,,1367
2058 anex citrus press,2058 Anex Citrus Press,,4823
10b1 kenwood food factory,10B1 Kenwood Food Factory,,8100
5004 anex fan heater,5004 Anex Fan Heater,,6370
9504 west point hand mixer,9504 West Point Hand Mixer,,5648
4017 large dish,4017 LARGE DISH,,0
081 china rod heater,081 China Rod Heater,,1500
+,+,,14800
655 nd national air fryer,655 ND National Air Fryer,,14355
400 st national iron 400 watt,400 St National Iron 400 Watt,,1625
04 fh jl nova fan heater,04 FH JL Nova Fan Heater,,1400
557 panasonic kettle,557 Panasonic Kettle,,1475
2508 commercial blender glass,2508 Commercial Blender Glass,,8500
1919 philips 4in1 juicer,1919 Philips 4in1 Juicer,,0
446 st national juicer,446 St National Juicer,,1625
1040 panadonic food processor,1040 PANADONIC FOOD PROCESSOR,,5000
3048 anex chopper,3048 Anex Chopper,,14388.4
20 l chrome microwave oven,20 L Chrome Microwave Oven,,11800
1073 panasonic electric oven,1073 Panasonic Electric Oven,,19000
2024 charging fan 18'',2024 Charging Fan 18'',,7300
3450 bb kenwood 4in1 juicer,3450 BB  Kenwood 4in1 Juicer,,3625
9098 nd national blender 1.5l,9098 ND National Blender 1.5L,,2936.25
crystal top cover 176 juicer,Crystal Top Cover 176 Juicer,,180
112 kenwood sandwich maker,112 Kenwood Sandwich Maker,,1799.09
648 anex masala grinder,648 Anex Masala Grinder,,6679.4
2757 china heavy egg beater,2757 China Heavy Egg Beater,,1000
501 panasonic 3in1 juicer 7025cc,501 Panasonic 3in1 Juicer 7025CC,,3200
2127 anex stand mixer,2127 Anex Stand Mixer,,14696.31
2060 panasonic chopper,2060 Panasonic Chopper,,4225
21 geepas fish heater,21 Geepas Fish Heater,,1550
400 g moving masala grinder,400 G Moving Masala Grinder,,14500
610 boman commercial blender,610 Boman Commercial Blender,,6000
3092 anex insect killer,3092 Anex Insect Killer,,10374
8801 longli kettle,8801 Longli Kettle,,1800
box 3700 kw 4in1 juicer,Box 3700 KW 4in1 Juicer,,100
2800 nd national electric oven,2800 ND National Electric Oven,,12941.25
432 panasonic blender,432 Panasonic Blender,,2500
panasonic dish colour heater,Panasonic Dish Colour Heater,,800
135 lion blender,135 LION BLENDER,,1490
747 geepas meat machine,747 Geepas Meat Machine,,6000
2050 panasonic chopper,2050 Panasonic Chopper,,4300
7100 panasonic food processor,7100 Panasonic Food Processor,,7500
390 anex egg beater,390 Anex Egg Beater,,6097
box 50 kenwood blender,Box 50 Kenwood Blender,,75
1150 west point dryer,1150 West Point Dryer,,0
6133 anex blender 3in1,6133 Anex Blender 3in1,,12281.97
1760 glass jar juicer 4in1,1760 glass jar Juicer 4in1,,2366.67
1196 cambridge sanwich maker,1196 cambridge sanwich maker,,0
2a dawlance sandwich maker,2A Dawlance Sandwich Maker,,0
2078 anex dry iron with spray,2078 Anex Dry Iron With Spray,,4868
button 3in1 juicer,Button 3in1 Juicer,,77.68
box st 113 iron,Box ST 113 Iron,,61.17
1018 panasonic blender 7020 copper,1018 Panasonic Blender 7020 Copper,,815.29
box 888 philips,Box 888 Philips,,68
176 p 7030 multy net 3in1 juicer,176 P 7030  Multy Net 3in1 Juicer,,2500
177 anex juicer,177 Anex Juicer,,12406.33
701 akira sandwich maker,701 Akira Sandwich Maker,,0
390 kenwood hot plate,390 Kenwood Hot Plate,,3137.5
201 st panasonic blender,201 ST PANASONIC BLENDER,,1350
6491 morrison 3in1 kettle,6491 Morrison 3in1 Kettle,,1030
525 nd national microwave oven,525 ND National Microwave Oven,,18009
box 1515 ph 3in1 juicer,Box 1515 Ph 3in1 Juicer,,81
206 kenwood food factory,206 Kenwood Food Factory,,8150
26 st national dolphin iron,26 ST National Dolphin Iron,,1601.67
4000 juicer 4in1 8825 kenwood,4000 Juicer 4in1 8825 kenwood,,4850
2065 np golden iron,2065 NP Golden Iron,,949
8019 panasonic ketlle,8019 Panasonic Ketlle,,2050
8h 23 ltr manual microwave oven,8H 23 Ltr Manual Microwave Oven,,16500
7630 motor copper,7630 Motor Copper,,1200
2070 national iron n golden,2070 National Iron N Golden,,1510
2070 national iron n gray,2070 National Iron N Gray,,1413.64
208 geepas coffee grinder,208 Geepas Coffee Grinder,,3200
20xmfb enviro microwave oven,20XMFB Enviro Microwave Oven,,11500
2070 panasonic iron p gray,2070 Panasonic Iron P Gray,,1530
2075 np golden iron,2075 NP Golden Iron,,1091
2075 anex light weight iron,2075 Anex Light Weight Iron,,3913
40 mj base,40 Mj base,,105
2073 anex light weight iron,2073 Anex Light Weight Iron,,4386.5
2080 soarin china iron,2080 Soarin China Iron,,800
20 m popcorn black orient,20 M PopCorn Black Orient,,13100
6 blade china,6 blade china,,55
20sk skyiwood electric oven,20SK Skyiwood Electric Oven,,6000
100 spell juicer,100 Spell Juicer,,5162
4600 silver microwave bareek,4600 Silver Microwave BAREEK,,13500
2070 panasonic iron p golden,2070 Panasonic Iron P Golden,,1655
30 ms lido insect killer,30 MS LIDO INSECT KILLER,,1990
222 oxford blender dd,222 Oxford Blender DD,,2132.8
210 dawlance white microwave oven,210 Dawlance White Microwave Oven,,12523.08
20 mh national microwave oven,20 MH National Microwave Oven,,11254.72
pure lid,pure lid,,34
6019 dsp garments steamer,6019 DSP Garments Steamer,,14500
600 mj panasonic 7025 cooper juicer,600 Mj Panasonic 7025 cooper juicer,,3934.72
877 nd national toaster 4 slice,877 ND National Toaster 4 Slice,,5046
444 apple dish,444 Apple Dish,,725
base jug,Base Jug,,96.5
214 oxford sandwich maker,214 Oxford Sandwich Maker,,2008.1
6868 nd national air fryer 5+5 ltr,6868 ND National Air Fryer 5+5 Ltr,,22620
2150 anex food processor,2150 Anex Food Processor,,16971.5
220 seco kettle,220 Seco Kettle,,1725
212 oxford sandwich maker,212 Oxford Sandwich Maker,,1873.75
2200 multy net stick blender,2200 Multy Net Stick Blender,,1890
112 anex stick,112 Anex Stick,,2300
602 russel hobbs hot plate,602 Russel Hobbs Hot Plate,,3400
2170 panasonic hand blender,2170 Panasonic Hand Blender,,3115
2154 anex citrus press,2154 Anex Citrus Press,,5460
211 oxford sandwich maker,211 Oxford Sandwich Maker,,1960.8
9530 commercial blender,9530 Commercial Blender,,11000
9097 nd national blender plastic,9097 ND National Blender Plastic,,2762.25
glass jar chopper,Glass Jar Chopper,,318.75
220 dawlance microwave oven,220 Dawlance Microwave Oven,,12570.83
222 gold star blender,222 Gold Star Blender,,1100
12 inch sanyyo pure dish heater,12 Inch Sanyyo Pure Dish Heater,,875
7811 raf kettle,7811 RAF Kettle,,3700
1053 nd national hot plate,1053 ND National Hot Plate,,5220
280 kenwood citrus press,280 Kenwood Citrus Press,,5000
1001 dsp citrus,1001 DSP Citrus,,1430
ref 9169wb chrome hairline black,REF 9169WB Chrome Hairline Black,,86301.41
222 national com blender,222 National Com Blender,,1957
enoca iron,Enoca Iron,,0
106 philips air fryer,106 Philips Air Fryer,,13500
223 cambridge blender,223 Cambridge Blender,,2338
2224 nd national 4in1 juicer,2224 ND National 4in1 Juicer,,7294.08
224 anex plus electric oven,224 Anex Plus Electric Oven,,5400
2240 seco citrus pre,2240 Seco Citrus Pre,,1300
hmd 25 microwave with grill 20 litters,hmd 25 Microwave With Grill 20 litters,,15000
222 nd national juicer,222 ND National Juicer,,6562.16
1650 kenwood food processor,1650 Kenwood Food Processor,,10600
31 dj panasonic juicer,31 DJ Panasonic Juicer,,46333.33
313 kenwood blender dd,313 Kenwood Blender DD,,2035
1001 panasonic food processor,1001 Panasonic Food Processor,,12282
4455 st national 3in1 juicer gb,4455 ST National 3in1 Juicer GB,,1563.64
2220 arson juicer,2220 Arson Juicer,,2250
224 st national kettle,224 ST National Kettle,,1328.57
5035 panasonic box heater,5035 Panasonic Box Heater,,0
226 braun chopper,226 Braun Chopper,,3000
226 national chopper,226 National Chopper,,3000
2222 7025 cc national juicer,2222 7025 cc National Juicer,,1517
226 panasonic chopper,226 Panasonic Chopper,,3250
227 national chopper,227 National Chopper,,3000
227 panasonic chopper,227 Panasonic Chopper,,3250
gene blender wp,Gene Blender WP,,7
230 anex plus electric oven,230 Anex Plus Electric Oven,,6500
22 awt panasonic malaysia iron,22 AWT Panasonic Malaysia Iron,,7335.78
box st 400 iron,Box St 400 Iron,,56
1300 ph food processor,1300 ph food processor,,8200
615 kenwood stick,615 KENWOOD STICK,,3400
400 juicer 3in1 8825 kenwood,400 Juicer 3in1 8825 kenwood,,4350
181 gl anex juicer 3in1,181 GL Anex Juicer 3in1,,11702.6
230 nd national 3in1 juicer,230 ND National 3in1 Juicer,,6931
3152 anex food processor,3152 Anex Food Processor,,19692.4
786 national single blender,786 National Single Blender,,1000
918 panasonic blender,918 Panasonic Blender,,1110
mwp 20.000 kenwood microwave oven,MWP 20.000 Kenwood Microwave Oven,,12800
2396 cambridge chopp,2396 Cambridge Chopp,,3443
3319 dish heater,3319 Dish Heater,,2430
hot plate miror,hot plate miror,,1200
1002 dsp citrus pres,1002 DSP Citrus Pres,,1400
222 cambridge blender,222 Cambridge Blender,,1400
1002 dsp grillr,1002 DSP grillr,,3400
30ug panasonic microwave oven,30UG Panasonic Microwave Oven,,22800
240 cambridge chopper,240 Cambridge Chopper,,2720
2470 seco electric oven,2470 Seco Electric Oven,,17300
7029 anex hair dryer,7029 Anex Hair Dryer,,5687.5
0271 decora steamer,0271 Decora Steamer,,14200
4216 enviro coffee grinder,4216 Enviro Coffee Grinder,,4600
176 panasonic juicer super commercial 3in1,176 Panasonic Juicer Super Commercial 3in1,,4380
632 philips blender,632 Philips Blender,,2500
601 nd national food proceres,601 ND National Food Proceres,,8700
11 anex pull chopper manual,11 Anex Pull Chopper Manual,,1459.33
230 nd national kettle,230 ND National Kettle,,3293
7070 oxford glass blender,7070 OXFORD GLASS BLENDER,,1118
kaim 3in1 juicer,Kaim 3in1 Juicer,,76.68
00002 panasonic 3in1 juicer,00002 Panasonic 3in1 Juicer,,0
101 nd national sandwich maker,101 ND National Sandwich Maker,,1490
124 g power stand mixer,124 G Power Stand Mixer,,13000
250 nd national kettle,250 ND National Kettle,,3293
280 philips blender,280 Philips Blender,,1200
520 ns iron,520 NS Iron,,615
251 panasonic blende,251 Panasonic Blende,,910
2893 sinbo garments steamer,2893 Sinbo Garments Steamer,,8550
14 g power tap,14 G Power Tap,,2850
233 signature toaster,233 Signature Toaster,,3500
295 dawlance microwave oven,295 Dawlance Microwave Oven,,15481.67
7725 hot plate,7725 Hot Plate,,3637.5
2040 panasonic iron with bag,2040 Panasonic Iron With Bag,,0
146 anex hand blender,146 Anex Hand Blender,,7984.95
1764 panasonic 4in1 juicer 7025cc,1764 Panasonic 4in1 Juicer 7025CC,,1675
297 dawlance microwave oven,297 Dawlance Microwave Oven,,18666.67
30 bg pel micro oven touch grill,30 BG PEL Micro Oven Touch Grill,,12574
508 seco sandwich maker,508 Seco Sandwich Maker,,1325
1048 oxford food factory,1048 Oxford Food Factory,,7963.6
270 national juicer,270 National Juicer,,2175
176 juicy oxford heavy commercial panasonic 3in1 juicer,176 Juicy Oxford Heavy Commercial Panasonic 3in1 Juicer,,2975
252 panasonic juicer,252 Panasonic Juicer,,3200
2520 panasonic 4in1 juicer,2520 Panasonic 4in1 Juicer,,2900
300 nd national sandwich maker plastic,300 ND National Sandwich Maker Plastic,,0
1116 seco insect killer,1116 Seco Insect Killer,,2750
40 mj panansonic blender,40 mj Panansonic Blender,,1623
416 philips steam iron,416 Philips Steam Iron,,1950
7030 black national micro oven,7030 Black National Micro Oven,,10400
garari 6 mili china 176,garari 6 mili china 176,,26.46
1140 kenwood food processor,1140 Kenwood Food Processor,,7500
224 a one golden iron,224 A One Golden Iron,,980
1010 oxford juicer,1010 Oxford Juicer,,2485.4
mwp 20.010 kenwood microwave oven,MWP 20.010 Kenwood Microwave Oven,,12800
300 national sandwich maker,300 National Sandwich Maker,,2125
3000 philips chopper,3000 Philips Chopper,,4800
300 braun sandwich maker,300 Braun Sandwich Maker,,2125
917 ns kettle,917 NS Kettle,,1125
